,search_string,8_digit_kvk,12_digit_kvk,vesting_nr,status_of_company,headquarters,website,main_company_name,bestaande_handelsnamen,statutaire_naam,second_page_company_name,street,housenumber,housenumber_extension,postcode,city,extra_infomation
0,1000AA,57851654	,578516540000	,000027253368	,No Value,True,www.firstconsulting.nl.,First Holding B.V.,First Holding B.V.,First Holding B.V.,First Holding B.V.,Herengracht,282,,1016BX,Amsterdam,"<b>...</b> www.firstconsulting.nl. Postbus 39, <b>1000AA</b>, Amsterdam, Nederland 1000  AA. Herengracht 282, 1016BX, Amsterdam, Nederland 1016 BX. <b>...</b>  "
1,1000AA,59789840	,597898400000	,000029047242	,No Value,True,www.xytrium.com.,Xytrium Life B.V.,Xytrium Life B.V. | xytrium,Xytrium Life B.V.,Xytrium Life B.V.,Beechavenue,129,B,1119RB,Schiphol-Rijk,"<b>...</b> www.xytrium.com. Postbus 1, <b>1000AA</b>, AMSTERDAM, Nederland 1000 AA.  Beechavenue 129 B, 1119RB, Schiphol-Rijk, Nederland 1119 RB. <b>...</b>  "
2,1000AA,33011433	,330114330000	,000010159975	,No Value,True,No Value,Heineken N.V.,Heineken N.V.,Heineken N.V.,Heineken N.V.,Tweede Weteringplantsoen,21,,1017ZD,Amsterdam,"<b>...</b> Heineken NV. Postbus 28, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. Tweede  Weteringplantsoen 21, 1017ZD, Amsterdam, Nederland 1017 ZD. <b>...</b>  "
3,1000AA,05080392	,050803920000	,000008279349	,No Value,True,www.firstconsulting.nl.,First Consulting B.V.,First Consulting B.V.,First Consulting B.V.,First Consulting B.V.,Herengracht,282,,1016BX,Amsterdam,"<b>...</b> www.firstconsulting.nl. Postbus 39, <b>1000AA</b>, Amsterdam, Nederland 1000  AA. Herengracht 282, 1016BX, Amsterdam, Nederland 1016 BX. <b>...</b>  "
4,1000AC,63167670	,631676700000	,No Value	,No Value,True,No Value,Vereniging van Asset Managers Woningcorporaties,No Value,No Value,Vereniging van Asset Managers Woningcorporaties,Jollemanhof,5,,1019GW,Amsterdam,"<b>...</b> VVAW. Vereniging van Asset Managers Woningcorporaties. Postbus 140,  <b>1000AC</b>, Amsterdam, Nederland 1000 AC. Jollemanhof <b>...</b>  "
5,1000AA,61879428	,618794280000	,000030943051	,No Value,True,No Value,Kled B.V.,Kled B.V.,Kled B.V.,Kled B.V.,Veemarkt,132,,1019DE,Amsterdam,"<b>...</b> Kled BV. Kled BV. Postbus 19, <b>1000AA</b>, Amsterdam, Nederland 1000 AA.  Veemarkt 132, 1019DE, Amsterdam, Nederland 1019 DE. <b>...</b>  "
6,1000AB,34320170	,343201700000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Blok 57 D te Amsterdam,No Value,No Value,Vereniging van Eigenaars Blok 57 D te Amsterdam,Condensatorweg,54,,1014AX,Amsterdam,"<b>...</b> VVE Blok 57 D te Amsterdam. Vereniging van Eigenaars Blok 57 D te  Amsterdam. Postbus 74, <b>1000AB</b>, Amsterdam, Nederland 1000 AB. <b>...</b>  "
7,1000AB,33003396	,330033960010	,No Value	,Deze nevenvestiging is uitgeschreven uit het Handelsregister,True,No Value,De Nederlandsche Bank N.V.,De Nederlandsche Bank N.V.,De Nederlandsche Bank N.V.,De Nederlandsche Bank N.V.,Rijksstraatweg,334,,2242AB,Wassenaar,"<b>...</b> De Nederlandsche Bank NV. Postbus 98, <b>1000AB</b>, Amsterdam, Nederland  1000 AB. Rijksstraatweg 334, 2242AB, Wassenaar, Nederland 2242 AB. <b>...</b>  "
8,1000AA,34288333	,342883330001	,000004162609	,No Value,True,www.villagebagels.nl.,Village Bagels,Village Bagels,No Value,Village Bagels,Vijzelstraat,137,,1017HJ,Amsterdam,"<b>...</b> Restaurants. www.villagebagels.nl. Postbus 7, <b>1000AA</b>, Amsterdam, Nederland  1000 AA. Vijzelstraat 137, 1017HJ, Amsterdam, Nederland 1017 HJ <b>...</b>  "
9,1000AA,33127997	,331279970000	,000016718674	,No Value,True,No Value,B.V. Beleggingsmaatschappij Limba,B.V. Beleggingsmaatschappij Limba,B.V. Beleggingsmaatschappij Limba,B.V. Beleggingsmaatschappij Limba,Tweede Weteringplantsoen,21,,1017ZD,Amsterdam,"<b>...</b> BV Beleggingsmaatschappij Limba. BV Beleggingsmaatschappij Limba.  Postbus 28, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. <b>...</b>  "
10,1000AC,33120955	,331209550000	,000015982343	,No Value,True,www.meulenhoff.nl.,Uitgeverij J.M. Meulenhoff B.V.,Uitgeverij J.M. Meulenhoff B.V. | Meulenhoff Informatief | Meulenhoff International | Meulenhoff/Landshoff,Uitgeverij J.M. Meulenhoff B.V.,Uitgeverij J.M. Meulenhoff B.V.,Herengracht,507,,1017BV,Amsterdam,"<b>...</b> www.meulenhoff.nl. Postbus 100, <b>1000AC</b>, Amsterdam, Nederland 1000 AC.  Herengracht 507, 1017BV, Amsterdam, Nederland 1017 BV. <b>...</b>  "
11,1000AA,33050541	,330505410000	,000016799585	,No Value,True,No Value,Heineken Brouwerijen B.V.,Heineken Brouwerijen B.V. | Distilleerderij Hennekens | Jacques Hennekens | Heineken Export Group | Heineken Personal Draught System | Strongbow Cider Makers | HBBV | Heineken Breweries | Strongbow Apple Ciders | Strongbow Apple Cider Makers,Heineken Brouwerijen B.V.,Heineken Brouwerijen B.V.,Tweede Weteringplantsoen,21,,1017ZD,Amsterdam,"<b>...</b> dienstverlening. Heineken Brouwerijen BV. Heineken Brouwerijen BV. Postbus  28, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. Tweede <b>...</b>  "
12,1000AB,34389083	,343890830000	,No Value	,No Value,True,No Value,Vereniging van Ondereigenaars stallingsruimte gebouw IJside te Amsterdam,No Value,No Value,Vereniging van Ondereigenaars stallingsruimte gebouw IJside te Amsterdam,Condensatorweg,54,,1014AX,Amsterdam,"<b>...</b> Vereniging van Ondereigenaars stallingsruimte gebouw IJside te Amsterdam.  Postbus 74, <b>1000AB</b>, Amsterdam, Nederland 1000 AB. <b>...</b>  "
13,1000AB,34334259	,343342590007	,000017778654	,Deze nevenvestiging is uitgeschreven uit het Handelsregister,True,No Value,ABN AMRO Bank N.V.,ABN AMRO Bank N.V. | ABN AMRO | MeesPierson | ABN AMRO MeesPierson | VSB Bank,ABN AMRO Bank N.V.,ABN AMRO Bank N.V.,Bijlmerplein,207,,1102DD,Amsterdam,"<b>...</b> ABN AMRO Bank NV. Postbus 77, <b>1000AB</b>, Amsterdam, Nederland 1000 AB.  Bijlmerplein 207, 1102DD, Amsterdam, Nederland 1102 DD. <b>...</b>  "
14,1000AA,33305353	,333053530000	,000018783600	,No Value,True,No Value,Roeminck Insurance N.V.,Roeminck Insurance N.V.,Roeminck Insurance N.V.,Roeminck Insurance N.V.,Tweede Weteringplantsoen,21,,1017ZD,Amsterdam,"<b>...</b> Herverzekering. Roeminck Insurance NV. Roeminck Insurance NV.  Postbus 28, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. <b>...</b>  "
15,1000AA,58208631	,582086310000	,000027571831	,No Value,True,www.qred.net.,Qred,Qred | Qred Concepts | Qred Consultancy | Qred Capacity Building,No Value,Qred,W Frederik Hermansstr,155,,1011DG,Amsterdam,"<b>...</b> www.qred.net. Postbus 11, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. W  Frederik Hermansstr 155, 1011DG, Amsterdam, Nederland 1011 DG. <b>...</b>  "
16,1000AC,33031431	,330314310230	,000019534299	,No Value,True,No Value,ING Bank,ING Bank,ING Bank N.V.,ING Bank,Grotestraat,172,,5141HC,Waalwijk,"<b>...</b> ING Bank. ING Bank NV. Postbus 109, <b>1000AC</b>, Amsterdam, Nederland 1000  AC. Grotestraat 172, 5141HC, Waalwijk, Nederland 5141 HC. <b>...</b>  "
17,1000AM,55834361	,558343610000	,000025447483	,No Value,True,No Value,KEY-TAX BV,KEY-TAX BV | Key Tax,KEY-TAX BV,KEY-TAX BV,Beechavenue,54,,1119PW,Schiphol-Rijk,"<b>...</b> KEY-TAX BV. KEY-TAX BV. Postbus 515, <b>1000AM</b>, Amsterdam, Nederland  1000 AM. Beechavenue 54, 1119PW, Schiphol-Rijk, Nederland 1119 PW <b>...</b>  "
18,1000AC,34176835	,341768350000	,000018349196	,No Value,True,No Value,TKB Outsourcing B.V.,TKB Outsourcing B.V.,TKB Outsourcing B.V.,TKB Outsourcing B.V.,Thomas R. Malthusstraat,1,,1066JR,Amsterdam,"<b>...</b> TKB Outsourcing BV. Postbus 117, <b>1000AC</b>, Amsterdam, Nederland 1000  AC. Thomas R. Malthusstraat 1, 1066JR, Amsterdam, Nederland 1066 JR <b>...</b>  "
19,1000AA,33255887	,332558870000	,000019140576	,No Value,True,No Value,Academie Amsterdam,Academie Amsterdam | Hogeschool voor Fotografie | Hogeschool voor Fotografie Amsterdam | Hogeschool voor Fotografie Nederland | Academie Han Sieveking | Academie voor Fotografie | Academie voor Fotografie Amsterdam | Fotoacademie | Fotoacademie Amsterdam | Fotoacademie Nederland | Photo Academy Award | Fotoschool | Fotoschool Opleidingen | Fotogram | Fotogram Opleidingen | Foac,Fotoacademie B.V.,Academie Amsterdam,Sarphatistraat,35,,1018EV,Amsterdam,"<b>...</b> Fotoacademie BV. Postbus 22, <b>1000AA</b>, Amsterdam, Nederland 1000 AA.  Sarphatistraat 35, 1018EV, Amsterdam, Nederland 1018 EV. <b>...</b>  "
20,1000AB,34367745	,343677450000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Katharina te Amsterdam,No Value,No Value,Vereniging van Eigenaars Katharina te Amsterdam,Condensatorweg,54,,1014AX,Amsterdam,"<b>...</b> VvE Katharina te Amsterdam. Vereniging van Eigenaars &quot;Katharina te  Amsterdam&quot;. Postbus 74, <b>1000AB</b>, Amsterdam, Nederland 1000 AB. <b>...</b>  "
21,1000AB,34328062	,343280620000	,No Value	,No Value,True,No Value,Vereniging van eigenaars gebouw Czaar Peterstraat 103-105 te Amsterdam,No Value,No Value,Vereniging van eigenaars gebouw Czaar Peterstraat 103-105 te Amsterdam,Condensatorweg,54,,1014AX,Amsterdam,"<b>...</b> Vereniging van eigenaars gebouw Czaar Peterstraat 103-105 te Amsterdam.  Postbus 74, <b>1000AB</b>, Amsterdam, Nederland 1000 AB. <b>...</b>  "
22,1000AD,34303521	,343035210000	,000012709050	,No Value,True,No Value,HWC Holding B.V.,HWC Holding B.V.,HWC Holding B.V.,HWC Holding B.V.,Dorpsstraat,50,,1454AM,Watergang,"<b>...</b> HWC Holding BV. Postbus 166, <b>1000AD</b>, Amsterdam, Nederland 1000 AD.  Dorpsstraat 50, 1454AM, Watergang, Nederland 1454 AM. <b>...</b>  "
23,1000AB,33002587	,330025870088	,No Value	,Deze nevenvestiging is uitgeschreven uit het Handelsregister,True,No Value,ABN AMRO Bank N.V.,ABN AMRO Bank N.V.,The Royal Bank of Scotland N.V.,ABN AMRO Bank N.V.,Foppingadreef,20,,1102BS,Amsterdam Zuidoost,"<b>...</b> Algemene banken. The Royal Bank of Scotland NV. The Royal Bank of Scotland  NV. Postbus 77, <b>1000AB</b>, Amsterdam, Nederland 1000 AB. <b>...</b>  "
24,1000AA,41215781	,412157810000	,No Value	,No Value,True,No Value,Stichting Kol Haneshama,No Value,No Value,Stichting Kol Haneshama,Postbus,3,,1000AA,Amsterdam,"<b>...</b> Stichting Kol Haneshama. Stichting Kol Haneshama. Postbus 3, <b>1000AA</b>,  Amsterdam, Nederland 1000 AA. Sdei Chemedstraat 4, , Jeruzalem, Israël <b>...</b>  "
25,1000AA,34308527	,343085270000	,No Value	,No Value,True,No Value,Stichting Heineken Collection,No Value,No Value,Stichting Heineken Collection,Tweede Weteringplantsoen,21,,1017ZD,Amsterdam,"<b>...</b> Heineken Collection. Stichting Heineken Collection. www.heinekencollection.  com. Postbus 28, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. <b>...</b>  "
26,1000AC,39044076	,390440760000	,000015738221	,No Value,True,No Value,E. Peters Holding B.V.,E. Peters Holding B.V.,E. Peters Holding B.V.,E. Peters Holding B.V.,Scheepstimmermanstraat,54,,1019WX,Amsterdam,"<b>...</b> Holdings (geen financiële). E. Peters Holding BV. E. Peters Holding BV.  Postbus 116, <b>1000AC</b>, Amsterdam, Nederland 1000 AC. <b>...</b>  "
27,1000AM,33115512	,331155120000	,No Value	,Deze hoofdvestiging is uitgeschreven uit het Handelsregister,True,No Value,Zaza Retail B.V.,Zaza Retail B.V.,No Value,Zaza Retail B.V.,Koningin Wilhelminaplein,2,-4 2Z,1062HK,Amsterdam,"Zaza Retail BV. Vervaardiging van overige bovenkleding. Zaza Retail BV.  Postbus 545, <b>1000AM</b>, Amsterdam, Nederland 1000 AM. <b>...</b>  "
28,1000AC,34224283	,342242830000	,No Value	,No Value,True,No Value,Stichting VentureNos,No Value,No Value,Stichting VentureNos,Antonio Vivaldistraat,66,,1083HP,Amsterdam,"<b>...</b> Stichting VentureNos. Postbus 7919, <b>1000AC</b>, Amsterdam, Nederland 1000  AC. Antonio Vivaldistraat 66, 1083HP, Amsterdam, Nederland 1083 HP. <b>...</b>  "
29,1000AA,56235798	,562357980000	,000025809520	,No Value,True,No Value,Heineken Asia Pacific B.V.,Heineken Asia Pacific B.V.,Heineken Asia Pacific B.V.,Heineken Asia Pacific B.V.,Tweede Weteringplantsoen,21,,1017ZD,Amsterdam,"<b>...</b> Financiële holdings. Heineken Asia Pacific BV. Heineken Asia Pacific BV.  Postbus 28, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. <b>...</b>  "
30,1000AB,01181754	,011817540000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars gebouw Tuinbouwstraat 73/73a,No Value,No Value,Vereniging van Eigenaars gebouw Tuinbouwstraat 73/73a,Condensatorweg,54,,1014AX,Amsterdam,"<b>...</b> VvE Tuinbouwstraat 73/73a. Vereniging van Eigenaars gebouw Tuinbouwstraat  73/73a. Postbus 74, <b>1000AB</b>, Amsterdam, Nederland 1000 AB. <b>...</b>  "
31,1000AB,34357590	,343575900000	,000017678080	,No Value,True,No Value,Aardvark Industries B.V.,Aardvark Industries B.V.,Aardvark Industries B.V.,Aardvark Industries B.V.,Sint Nicolaasstraat,74,,1012NK,Amsterdam,"<b>...</b> Aardvark Industries BV. Postbus 99, <b>1000AB</b>, Amsterdam, Nederland 1000  AB. Sint Nicolaasstraat 74, 1012NK, Amsterdam, Nederland 1012 NK. <b>...</b>  "
32,1000AD,33260711	,332607110000	,000020107366	,No Value,True,No Value,"CW Travel Holdings,N.V.","CW Travel Holdings,N.V.","CW Travel Holdings,N.V.","CW Travel Holdings,N.V.",Wisselwerking,58,Geb. Apollo,1112XS,Diemen,"<b>...</b> CW Travel Holdings,NV. CW Travel Holdings,NV. Postbus 165, <b>1000AD</b>,  Amsterdam, Nederland 1000 AD. Wisselwerking 58 Geb. <b>...</b>  "
33,1000AN,41209565	,412095650000	,No Value	,No Value,True,No Value,Stichting Sekam Video,No Value,No Value,Stichting Sekam Video,Oostenburgervoorstraat,96,,1018MR,Amsterdam,"Lease van niet-financiële immateriële activa. Stichting Sekam Video. Stichting  Sekam Video. Postbus 581, <b>1000AN</b>, Amsterdam, Nederland 1000 AN <b>...</b>  "
34,1000AM,66122856	,661228560000	,000034775579	,No Value,True,No Value,YOOKOO B.V.,YOOKOO B.V. | Rein Catering en Events,YOOKOO B.V.,YOOKOO B.V.,Diezestraat,36,1,1078JS,Amsterdam,"<b>...</b> YOOKOO BV. YOOKOO BV. Postbus 533, <b>1000AM</b>, Amsterdam, Nederland  1000 AM. Diezestraat 36 1, 1078JS, Amsterdam, Nederland 1078 JS. <b>...</b>  "
35,1000AA,68380380	,683803800000	,No Value	,No Value,True,No Value,Stichting Nederlandse Vechtsportautoriteit,No Value,No Value,Stichting Nederlandse Vechtsportautoriteit,Jodenbreestraat,25,,1011NH,Amsterdam,"<b>...</b> Stichting Nederlandse Vechtsportautoriteit. Stichting Nederlandse  Vechtsportautoriteit. Postbus 46, <b>1000AA</b>, AMSTERDAM, Nederland 1000 <b>...</b>  "
36,1000AA,34160189	,341601890001	,000026932202	,No Value,True,No Value,AFS Postshop,AFS Postshop,No Value,AFS Postshop,Veemarkt,132,,1019DE,Amsterdam,"<b>...</b> Amsterdam Fashion Square Postshop. Amsterdam Fashion Square Postshop.  Postbus 19, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. <b>...</b>  "
37,1000AC,63689499	,636894990000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Nieuwstraat 28 en 28a en Heistraat 2 en 4,No Value,No Value,Vereniging van Eigenaars Nieuwstraat 28 en 28a en Heistraat 2 en 4,Hogehilweg,21,,1101CB,Amsterdam,"<b>...</b> Vereniging van Eigenaars Nieuwstraat 28 en 28a en Heistraat 2 en 4.  Postbus 125, <b>1000AC</b>, Amsterdam, Nederland 1000 AC. <b>...</b>  "
38,1000AM,33084566	,330845660000	,000017450365	,Deze hoofdvestiging is uitgeschreven uit het Handelsregister,True,www.sonypictures.net/nl.,Sony Pictures Releasing (Holland) B.V.,Sony Pictures Releasing (Holland) B.V.,No Value,Sony Pictures Releasing (Holland) B.V.,Overschiestraat,186,C,1062XK,Amsterdam,"<b>...</b> www.sonypictures.net/nl. Postbus 533, <b>1000AM</b>, Amsterdam, Nederland 1000  AM. Overschiestraat 186 C, 1062XK, Amsterdam, Nederland 1062 XK <b>...</b>  "
39,1000AC,41212109	,412121090000	,No Value	,No Value,True,No Value,Stichting Wetenschappelijk Onderzoek en Onderwijs in de Vastgoedkunde,No Value,No Value,Stichting Wetenschappelijk Onderzoek en Onderwijs in de Vastgoedkunde,Jollemanhof,5,,1019GW,Amsterdam,"<b>...</b> Swoov. Stichting Wetenschappelijk Onderzoek en Onderwijs in de  Vastgoedkunde. Postbus 140, <b>1000AC</b>, Amsterdam, Nederland 1000 AC. <b>...</b>  "
40,1000AA,69841632	,698416320000	,000038163861	,No Value,True,"www.pinquality.nl,",pinQuality,pinQuality | BnBnB | Pinkhost,No Value,pinQuality,W Frederik Hermansstr,155,,1011DG,Amsterdam,"<b>...</b> Reisbemiddeling|Facility management. www.pinquality.nl, www.bnbnb.nl,  www.pinkhost.nl. Postbus 11, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. <b>...</b>  "
41,1000AB,34384074	,343840740000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars De Schuil Hoeve,No Value,No Value,Vereniging van Eigenaars De Schuil Hoeve,Condensatorweg,54,,1014AX,Amsterdam,"<b>...</b> Vereniging van Eigenaars De Schuil Hoeve. Vereniging van Eigenaars De  Schuil Hoeve. Postbus 74, <b>1000AB</b>, Amsterdam, Nederland 1000 AB. <b>...</b>  "
42,1000AB,33236238	,332362380000	,000017473004	,No Value,True,No Value,RVP Produkties B.V.,RVP Produkties B.V. | Spot Shop | ADS Advertising Services | MotionVista | RVP Entertainment | Uitsig op die water | talktv.nl | TPTV.nl | TPTV,RVP Produkties B.V.,RVP Produkties B.V.,Sint Nicolaasstraat,74,,1012NK,Amsterdam,"<b>...</b> RVP Produkties BV. Postbus 99, <b>1000AB</b>, Amsterdam, Nederland 1000 AB.  Sint Nicolaasstraat 74, 1012NK, Amsterdam, Nederland 1012 NK. <b>...</b>  "
43,1000AA,34256302	,342563020000	,000019731876	,Deze hoofdvestiging is uitgeschreven uit het Handelsregister,True,No Value,Horeca European Buying B.V.,Horeca European Buying B.V. | HEB,No Value,Horeca European Buying B.V.,Tweede Weteringplantsoen,21,,1017ZD,Amsterdam,"<b>...</b> Markt- en opinieonderzoekbureaus. Horeca European Buying BV.  Postbus 28, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. <b>...</b>  "
44,1000AD,33208910	,332089100000	,000014774224	,No Value,True,No Value,Repliek B.V.,Repliek B.V.,Repliek B.V.,Repliek B.V.,De Lairessestraat,90,3L,1071PJ,Amsterdam,"<b>...</b> Repliek BV. Repliek BV. Postbus 150, <b>1000AD</b>, Amsterdam, Nederland 1000  AD. De Lairessestraat 90 3L, 1071PJ, Amsterdam, Nederland 1071 PJ <b>...</b>  "
45,1000AD,37080289	,370802890000	,No Value	,No Value,True,www.visitaal.nl.,Stichting Visitaal,No Value,No Value,Stichting Visitaal,Kohnstammlaan,11,secretariaat,2105SB,Heemstede,"<b>...</b> www.visitaal.nl. Postbus 184, <b>1000AD</b>, Amsterdam, Nederland 1000 AD.  Kohnstammlaan 11 secretariaat, 2105SB, Heemstede, Nederland 2105 SB <b>...</b>  "
46,1000AB,68217560	,682175600000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Olympiaplein 31 te Amsterdam,No Value,No Value,Vereniging van Eigenaars Olympiaplein 31 te Amsterdam,Condensatorweg,54,,1014AX,Amsterdam,"<b>...</b> Vereniging van Eigenaars Olympiaplein 31 te Amsterdam. Postbus 74, <b>1000AB</b>,  Amsterdam, Nederland 1000 AB. Condensatorweg <b>...</b>  "
47,1000AN,33283070	,332830700000	,000018805019	,No Value,True,www.rau.nl.,RAU B.V.,RAU B.V.,RAU B.V.,RAU B.V.,Hamerstraat,3,H,1021JT,Amsterdam,"<b>...</b> RAU BV. RAU BV. www.rau.nl. Postbus 564, <b>1000AN</b>, Amsterdam, Nederland  1000 AN. Hamerstraat 3 H, 1021JT, Amsterdam, Nederland 1021 JT. <b>...</b>  "
48,1000AM,33255405	,332554050000	,000014654830	,No Value,True,No Value,Geduko Corporation B.V.,Geduko Corporation B.V.,Geduko Corporation B.V.,Geduko Corporation B.V.,Strawinskylaan,3091,Atrium Centr,1077ZX,Amsterdam,"<b>...</b> Financiële holdings. Geduko Corporation BV. Geduko Corporation BV.  Postbus 545, <b>1000AM</b>, Amsterdam, Nederland 1000 AM. <b>...</b>  "
49,1000AA,66370450	,663704500000	,000001416537	,No Value,True,www.tacta.nl.,TACTA,TACTA,No Value,TACTA,van Beekstraat,96,,1121NS,Landsmeer,"<b>...</b> www.tacta.nl. Postbus 20, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. van  Beekstraat 96, 1121NS, Landsmeer, Nederland 1121 NS. <b>...</b>  "
50,1000AA,34297132	,342971320000	,000015286835	,No Value,True,No Value,Ideal Tours of Amsterdam,Ideal Tours of Amsterdam | Ideal Tours,No Value,Ideal Tours of Amsterdam,Nieuwe Kerkstraat,149,,1018VL,Amsterdam,"<b>...</b> Reisbemiddeling. Postbus 3, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. Nieuwe  Kerkstraat 149, 1018VL, Amsterdam, Nederland 1018 VL. <b>...</b>  "
51,1000AC,67443524	,674435240000	,000035984023	,No Value,True,No Value,Ascent Bulk Holdings Coöperatief U.A.,Ascent Bulk Holdings Coöperatief U.A.,Ascent Bulk Holdings Coöperatief U.A.,Ascent Bulk Holdings Coöperatief U.A.,Prins Bernhardplein,200,,1097JB,Amsterdam,"<b>...</b> Ascent Bulk Holdings Coöperatief UA. Ascent Bulk Holdings Coöperatief UA.  Postbus 990, <b>1000AC</b>, Amsterdam, Nederland 1000 AC. <b>...</b>  "
52,1000AC,40537396	,405373960000	,No Value	,No Value,True,www.vogon.nl.,Vereniging van Onroerend Goed-Onderzoekers Nederland,No Value,No Value,Vereniging van Onroerend Goed-Onderzoekers Nederland,Jollemanhof,5,,1019GW,Amsterdam,"<b>...</b> www.vogon.nl. Postbus 140, <b>1000AC</b>, Amsterdam, Nederland 1000 AC.  Jollemanhof 5, 1019GW, Amsterdam, Nederland 1019 GW. <b>...</b>  "
53,1000AA,62673785	,626737850000	,000031661602	,No Value,True,No Value,MPIT Netherlands 1 B.V.,MPIT Netherlands 1 B.V.,MPIT Netherlands 1 B.V.,MPIT Netherlands 1 B.V.,Funenpark,1,D,1018AK,Amsterdam,"<b>...</b> MPIT Netherlands 1 BV. Postbus 9, <b>1000AA</b>, Amsterdam, Nederland 1000  AA. Funenpark 1 D, 1018AK, Amsterdam, Nederland 1018 AK. <b>...</b>  "
54,1000AB,34302592	,343025920000	,000017567424	,No Value,True,No Value,RVP Marine B.V.,RVP Marine B.V.,RVP Marine B.V.,RVP Marine B.V.,Sint Nicolaasstraat,74,,1012NK,Amsterdam,"<b>...</b> RVP Marine BV. Postbus 99, <b>1000AB</b>, Amsterdam, Nederland 1000 AB. Sint  Nicolaasstraat 74, 1012NK, Amsterdam, Nederland 1012 NK. <b>...</b>  "
55,1000AA,34190761	,341907610000	,No Value	,Deze rechtspersoon is uitgeschreven uit het Handelsregister,True,www.keetwonen.nl.,Stichting Keetwonen,No Value,No Value,Stichting Keetwonen,H.J.E. Wenckebachweg,49,A,1096AK,Amsterdam,"<b>...</b> www.keetwonen.nl. Postbus 43, <b>1000AA</b>, Amsterdam, Nederland 1000 AA.  HJE Wenckebachweg 49 A, 1096AK, Amsterdam, Nederland 1096 AK. <b>...</b>  "
56,1000AD,17089397	,170893970039	,000019803362	,No Value,True,No Value,Renewi Nederland B.V.,Renewi Nederland B.V. | Van Gansewinkel Regio Noord-Nederland,Renewi Nederland B.V.,Renewi Nederland B.V.,Uraniumweg,27,,3542AK,Utrecht,"<b>...</b> Renewi Nederland BV. Postbus 158, <b>1000AD</b>, Amsterdam, Nederland 1000  AD. Uraniumweg 27, 3542AK, Utrecht, Nederland 3542 AK. <b>...</b>  "
57,1000AP,33268949	,332689490000	,000008828598	,No Value,True,No Value,HPP International Group B.V.,HPP International Group B.V.,HPP International Group B.V.,HPP International Group B.V.,Saxen-Weimarlaan,54,,1075CE,Amsterdam,"<b>...</b> HPP International Group BV. HPP International Group BV. www.hppexhibitions.  com. Postbus 625, <b>1000AP</b>, Amsterdam, Nederland 1000 AP. <b>...</b>  "
58,1000AN,34375802	,343758020000	,000011352531	,No Value,True,www.gootens.nl.,Studio Joost Grootens,Studio Joost Grootens,No Value,Studio Joost Grootens,Groenhoedenveem,24,,1019BL,Amsterdam,"<b>...</b> www.gootens.nl. Postbus 571, <b>1000AN</b>, Amsterdam, Nederland 1000 AN.  Groenhoedenveem 24, 1019BL, Amsterdam, Nederland 1019 BL. <b>...</b>  "
59,1000AD,33138900	,331389000000	,000003352137	,No Value,True,No Value,Uilenburg B.V.,Uilenburg B.V.,Uilenburg B.V.,Uilenburg B.V.,Boompjes,258,,3011XZ,Rotterdam,"<b>...</b> Uilenburg BV. Uilenburg BV. Postbus 150, <b>1000AD</b>, Amsterdam, Nederland  1000 AD. Boompjes 258, 3011XZ, Rotterdam, Nederland 3011 XZ. <b>...</b>  "
60,1000AN,33001054	,330010540064	,No Value	,Deze nevenvestiging is uitgeschreven uit het Handelsregister,True,No Value,BOEKHANDEL VELDHUIS,BOEKHANDEL VELDHUIS,AKO B.V.,BOEKHANDEL VELDHUIS,HERENSTRAAT,19,,8102CN,RAALTE,"<b>...</b> AKO BV. AKO BV. POSTBUS 562, <b>1000AN</b>, AMSTERDAM, Nederland 1000  AN. HERENSTRAAT 19, 8102CN, RAALTE, Nederland 8102 CN. <b>...</b>  "
61,1000AM,34172728	,341727280000	,000007542062	,No Value,True,www.onderhouds.nl.,First Class Klussen,First Class Klussen,No Value,First Class Klussen,Javastraat,611,,1095DM,Amsterdam,"<b>...</b> www.onderhouds.nl. Postbus 535, <b>1000AM</b>, Amsterdam, Nederland 1000  AM. Javastraat 611, 1095DM, Amsterdam, Nederland 1095 DM. <b>...</b>  "
