,search_string,8_digit_kvk,12_digit_kvk,vesting_nr,status_of_company,headquarters,website,main_company_name,bestaande_handelsnamen,statutaire_naam,second_page_company_name,street,housenumber,housenumber_extension,postcode,city,extra_infomation
4717,1000GP,52574318	,525743180000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Ruysdaelkade 151 te Amsterdam,No Value,No Value,Vereniging van Eigenaars Ruysdaelkade 151 te Amsterdam,Prinsengracht,259,,1016GV,Amsterdam,"<b>...</b> VvE Ruysdaelkade 151. Vereniging van Eigenaars Ruysdaelkade 151 te  Amsterdam. Postbus 19604, <b>1000GP</b>, Amsterdam, Nederland 1000 GP. <b>...</b>  "
4718,1000AS,56189532	,561895320000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Blasiusstraat 9,No Value,No Value,Vereniging van Eigenaars Blasiusstraat 9,Hoogte Kadijk,179,,1018BK,Amsterdam,"<b>...</b> Vereniging van Eigenaars &quot;Blasiusstraat 9&quot;. Vereniging van Eigenaars  &quot;Blasiusstraat 9&quot;. Postbus 738, <b>1000AS</b>, Amsterdam, Nederland 1000 AS. <b>...</b>  "
4719,1001AD,24321417	,243214170000	,000003294862	,Deze hoofdvestiging is uitgeschreven uit het Handelsregister,True,No Value,Cineventura Animation,Cineventura Animation,No Value,Cineventura Animation,Allard Piersonstraat,6,1,1053ZZ,Amsterdam,"<b>...</b> Overige specialistische zakelijke dienstverlening. Cineventura Animation CV.  Postbus 3360, <b>1001AD</b>, Amsterdam, Nederland 1001 AD. <b>...</b>  "
4720,1000AZ,55883427	,558834270000	,No Value	,Deze rechtspersoon is uitgeschreven uit het Handelsregister,True,No Value,Accel London Holdings (Netherlands) Coöperatie U.A.,No Value,No Value,Accel London Holdings (Netherlands) Coöperatie U.A.,Prins Bernhardplein,200,,1097JB,Amsterdam,"<b>...</b> (Neth.) Coöp. UA. Postbus 990, <b>1000AZ</b>, Amsterdam, Nederland 1000 AZ.  Prins Bernhardplein 200, 1097JB, Amsterdam, Nederland 1097 JB. <b>...</b>  "
4721,1001AC,58206655	,582066550000	,000027569993	,No Value,True,www.thecoffeevirus.nl.,The Coffee Virus,The Coffee Virus,No Value,The Coffee Virus,Overhoeksplein,2,,1031KS,Amsterdam,"<b>...</b> www.thecoffeevirus.nl. Postbus 3322, <b>1001AC</b>, Amsterdam, Nederland 1001  AC. Overhoeksplein 2, 1031KS, Amsterdam, Nederland 1031 KS. <b>...</b>  "
4722,1001AD,30206472	,302064720000	,000012547468	,Deze hoofdvestiging is uitgeschreven uit het Handelsregister,True,www.energie-vergelijken.nl.,Dynamic Drivers,Dynamic Drivers | Energie Vergelijken,No Value,Dynamic Drivers,de Favaugeplein,15,b,2042TM,Zandvoort,"<b>...</b> Vergelijken. Uitzendbureaus. Webportals. www.energie-vergelijken.nl. Postbus  3359, <b>1001AD</b>, Amsterdam, Nederland 1001 AD. de <b>...</b>  "
4723,1001AC,34300028	,343000280000	,000019171250	,No Value,True,No Value,Bureau Buhrs B.V.,Bureau Buhrs B.V.,Bureau Buhrs B.V.,Bureau Buhrs B.V.,Overhoeksplein,2,,1031KS,Amsterdam,"<b>...</b> bureaubuhrs.nl. Postbus 3322, <b>1001AC</b>, Amsterdam, Nederland 1001 AC.  Overhoeksplein 2, 1031KS, Amsterdam, Nederland 1031 KS. <b>...</b>  "
4724,1000GP,54517400	,545174000000	,No Value	,No Value,True,No Value,Stichting Administratiekantoor Wasco,No Value,No Value,Stichting Administratiekantoor Wasco,Prinsengracht,255,-259,1016GV,Amsterdam,"<b>...</b> Stichting Wasco. Stichting Administratiekantoor Wasco. Postbus 19604,  <b>1000GP</b>, Amsterdam, Nederland 1000 GP. Prinsengracht <b>...</b>  "
4725,1000GP,34365124	,343651240000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars van het Gebouw Rooseveltlaan 67-huis/Waalstraat 62 te Amsterdam,No Value,No Value,Vereniging van Eigenaars van het Gebouw Rooseveltlaan 67-huis/Waalstraat 62 te Amsterdam,Rooseveltlaan,67,,1079AE,Amsterdam,"<b>...</b> Postbus 19604, <b>1000GP</b>, Amsterdam, Nederland 1000 GP. Rooseveltlaan  67, 1079AE, Amsterdam, Nederland 1079 AE. Belangenbehartiging. <b>...</b>  "
4726,1000AS,50596292	,505962920000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Vrijmanseind,No Value,No Value,Vereniging van Eigenaars Vrijmanseind,Nico Jessekade,243,,1087NC,Amsterdam,"<b>...</b> Vereniging van Eigenaars &quot;Vrijmanseind&quot;. Vereniging van Eigenaars  &quot;Vrijmanseind&quot;. Postbus 738, <b>1000AS</b>, Amsterdam, Nederland 1000 AS. <b>...</b>  "
4727,1001AD,34318379	,343183790001	,000020657471	,Deze nevenvestiging is uitgeschreven uit het Handelsregister,True,No Value,Tapis B.V.,Tapis B.V.,No Value,Tapis B.V.,Van Baerlestraat,55,,1071AR,AMSTERDAM,"<b>...</b> Tapis BV. Postbus 3379, <b>1001AD</b>, Amsterdam, Nederland 1001 AD. Van  Baerlestraat 55, 1071AR, AMSTERDAM, Nederland 1071 AR. <b>...</b>  "
4728,1000AZ,34109556	,341095560000	,No Value	,Deze rechtspersoon is uitgeschreven uit het Handelsregister,True,No Value,Stichting Orlando,No Value,No Value,Stichting Orlando,Prins Bernhardplein,200,,1097JB,Amsterdam,"<b>...</b> Stichting Orlando. Postbus 990, <b>1000AZ</b>, Amsterdam, Nederland 1000 AZ.  Prins Bernhardplein 200, 1097JB, Amsterdam, Nederland 1097 JB. <b>...</b>  "
4729,1001AC,41213747	,412137470000	,No Value	,No Value,True,No Value,Stichting Stroeve Global Custody,No Value,No Value,Stichting Stroeve Global Custody,Keizersgracht,617,,1017DS,Amsterdam,"Financiële holdings. Stichting Stroeve Global Custody. Stichting Stroeve Global  Custody. Postbus 3325, <b>1001AC</b>, Amsterdam, Nederland 1001 AC. <b>...</b>  "
4730,1001AC,34279546	,342795460000	,No Value	,No Value,True,www.verspers.nl.,Stichting VersPers Uitgeverij,No Value,No Value,Stichting VersPers Uitgeverij,Overhoeksplein,2,,1031KS,Amsterdam,"<b>...</b> www.verspers.nl. Postbus 3322, <b>1001AC</b>, Amsterdam, Nederland 1001 AC.  Overhoeksplein 2, 1031KS, Amsterdam, Nederland 1031 KS. <b>...</b>  "
4731,1000GP,53987187	,539871870000	,No Value	,No Value,True,No Value,Vereniging van eigenaars gebouw Marnixstaete,No Value,No Value,Vereniging van eigenaars gebouw Marnixstaete,Prinsengracht,255,H,1016GV,Amsterdam,"<b>...</b> Vereniging van eigenaars gebouw &quot;Marnixstaete&quot;. Postbus 19604, <b>1000GP</b>,  Amsterdam, Nederland 1000 GP. Prinsengracht <b>...</b>  "
4732,1000GP,53907116	,539071160000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Singel 138,No Value,No Value,Vereniging van Eigenaars Singel 138,Prinsengracht,255,-259,1016GV,Amsterdam,"<b>...</b> Vereniging van Eigenaars Singel 138. Vereniging van Eigenaars Singel 138.  Postbus 19604, <b>1000GP</b>, Amsterdam, Nederland 1000 GP. <b>...</b>  "
